link_id,tag_id
0,0
0,1
1,1
1,2
1,3
2,1
2,5
3,1
3,9
4,1
5,1
5,7
5,10
6,1
6,5
6,6
6,8
6,11
6,12
7,1
7,13
7,14
8,1
8,15
9,1
9,18
9,19
10,1
10,3
10,17
10,20
11,1
11,21
11,22
12,1
12,9
12,23
13,1
13,23
14,1
14,12
14,17
15,1
15,5
15,6
15,8
15,11
16,1
16,3
16,9
17,1
17,3
17,9
18,1
18,4
19,1
19,7
19,17
20,1
20,17
20,23
21,1
21,24
22,1
22,17
23,1
23,3
23,13
24,1
24,10
24,14
24,17
25,1
25,4
25,5
25,8
26,1
26,3
26,5
26,6
26,8
26,14
26,28
27,1
27,4
27,5
27,6
27,8
27,27
28,1
28,3
28,4
28,5
28,6
28,8
28,17
29,1
29,5
29,6
29,7
29,8
29,15
30,1
30,5
30,6
30,8
30,14
30,16
31,1
31,5
31,8
32,1
32,5
32,8
33,1
33,17
33,20
34,1
34,13
34,15
34,17
35,1
35,7
35,17
36,1
36,17
36,30
37,1
37,31
38,1
38,2
38,3
38,17
39,1
39,31
40,1
40,7
40,17
40,20
40,21
40,24
41,1
41,13
41,21
41,22
41,24
42,1
42,17
42,31
42,33
43,1
43,3
43,12
43,17
43,28
43,34
44,1
44,28
44,34
44,35
45,1
45,3
45,9
46,1
46,15
47,1
47,3
47,9
48,1
48,17
48,30
